config	inst	time	count	rfsz	best	spr	hv	gd	
nsga150k2x	I0	650500	80	1282	0.0008	0.6032	0.3064	0.0162	
nsga150k2x	I0	627004	80	1282	0.0039	0.6106	0.3058	0.0169	
nsga150k2x	I0	617980	80	1282	0.0047	0.6265	0.3089	0.0148	
nsga150k2x	I0	619652	80	1282	0.0016	0.5572	0.3076	0.0092	
nsga150k2x	I0	617435	80	1282	0.0039	0.7082	0.3065	0.0178	
nsga150k2x	I0	619548	80	1282	0.0000	0.7050	0.3100	0.0158	
nsga150k2x	I0	618409	80	1282	0.0008	0.5787	0.3041	0.0170	
nsga150k2x	I0	619757	80	1282	0.0016	0.6272	0.3104	0.0150	
nsga150k2x	I0	617767	80	1282	0.0023	0.6397	0.3045	0.0153	
nsga150k2x	I0	617032	80	1282	0.0016	0.6304	0.3055	0.0204	
nsga150k2x	I0	620988	80	1282	0.0039	0.5466	0.3094	0.0083	
nsga150k2x	I0	616400	80	1282	0.0023	0.5789	0.3033	0.0159	
nsga150k2x	I0	618142	80	1282	0.0031	0.6286	0.3057	0.0203	
nsga150k2x	I0	617840	80	1282	0.0008	0.6929	0.3026	0.0260	
nsga150k2x	I0	618230	80	1282	0.0086	0.5864	0.3095	0.0163	
nsga150k2x	I0	618219	80	1282	0.0078	0.5023	0.3092	0.0108	
nsga150k2x	I0	619944	80	1282	0.0031	0.5777	0.3095	0.0110	
nsga150k2x	I0	619075	80	1282	0.0031	0.6073	0.3113	0.0125	
nsga150k2x	I0	618435	80	1282	0.0008	0.6405	0.3051	0.0176	
nsga150k2x	I0	616867	80	1282	0.0031	0.5915	0.3079	0.0177	
nsga150k2x	I0	617466	80	1282	0.0016	0.6330	0.3055	0.0169	
nsga150k2x	I0	617155	79	1282	0.0023	0.6187	0.3081	0.0139	
nsga150k2x	I0	619987	80	1282	0.0023	0.6040	0.3050	0.0127	
nsga150k2x	I0	615274	80	1282	0.0031	0.5969	0.3106	0.0158	
nsga150k2x	I0	618901	80	1282	0.0008	0.5526	0.3068	0.0122	
nsga150k2x	I0	617951	80	1282	0.0031	0.6598	0.3077	0.0194	
nsga150k2x	I0	616720	80	1282	0.0039	0.6216	0.3125	0.0166	
nsga150k2x	I0	615871	80	1282	0.0016	0.6415	0.3041	0.0221	
nsga150k2x	I0	618513	80	1282	0.0016	0.6244	0.3078	0.0171	
nsga150k2x	I0	618325	80	1282	0.0016	0.6849	0.3093	0.0180	
nsga150k2x	I0	618054	80	1282	0.0039	0.6523	0.3085	0.0155	
nsga150k2x	I0	616703	80	1282	0.0031	0.6793	0.3095	0.0151	
nsga150k2x	I0	616704	80	1282	0.0023	0.5695	0.3084	0.0124	
nsga150k2x	I0	619656	80	1282	0.0023	0.6771	0.3083	0.0139	
nsga150k2x	I0	617500	80	1282	0.0016	0.5893	0.3109	0.0115	
nsga150k2x	I0	616618	80	1282	0.0062	0.6824	0.3090	0.0168	
nsga150k2x	I0	616024	80	1282	0.0016	0.5970	0.3030	0.0188	
nsga150k2x	I0	614552	80	1282	0.0039	0.7813	0.3100	0.0242	
nsga150k2x	I0	615687	80	1282	0.0000	0.6815	0.3051	0.0128	
nsga150k2x	I0	618402	79	1282	0.0023	0.6026	0.3053	0.0122	
nsga150k2x	I0	619032	80	1282	0.0031	0.6561	0.3082	0.0166	
nsga150k2x	I0	618968	80	1282	0.0023	0.6973	0.3100	0.0155	
nsga150k2x	I0	620203	80	1282	0.0031	0.6625	0.3095	0.0155	
nsga150k2x	I0	617268	80	1282	0.0031	0.7085	0.3097	0.0151	
nsga150k2x	I0	618879	80	1282	0.0023	0.6649	0.3082	0.0184	
nsga150k2x	I0	618109	80	1282	0.0016	0.5948	0.3080	0.0170	
nsga150k2x	I0	616917	80	1282	0.0023	0.6553	0.3065	0.0212	
nsga150k2x	I0	617454	80	1282	0.0008	0.6107	0.3073	0.0141	
nsga150k2x	I0	617470	80	1282	0.0055	0.6848	0.3065	0.0167	
nsga150k2x	I0	617651	80	1282	0.0008	0.6192	0.3034	0.0153	
nsga150k2xse	I0	767048	80	1282	0.0211	0.4480	0.3329	0.0003	
nsga150k2xse	I0	762839	80	1282	0.0140	0.4481	0.3330	0.0003	
nsga150k2xse	I0	762637	80	1282	0.0156	0.4179	0.3332	0.0003	
nsga150k2xse	I0	610530	80	1282	0.0133	0.4094	0.3333	0.0003	
nsga150k2xse	I0	573728	80	1282	0.0148	0.4244	0.3335	0.0003	
nsga150k2xse	I0	563752	80	1282	0.0195	0.4072	0.3329	0.0003	
nsga150k2xse	I0	564852	80	1282	0.0172	0.4265	0.3342	0.0003	
nsga150k2xse	I0	563975	80	1282	0.0117	0.4757	0.3317	0.0003	
nsga150k2xse	I0	564027	80	1282	0.0164	0.5285	0.3325	0.0003	
nsga150k2xse	I0	563492	80	1282	0.0179	0.4347	0.3332	0.0004	
nsga150k2xse	I0	564136	80	1282	0.0125	0.4268	0.3333	0.0003	
nsga150k2xse	I0	565690	80	1282	0.0187	0.5264	0.3338	0.0003	
nsga150k2xse	I0	562210	80	1282	0.0203	0.4809	0.3335	0.0003	
nsga150k2xse	I0	562411	80	1282	0.0242	0.4344	0.3342	0.0003	
nsga150k2xse	I0	563073	80	1282	0.0117	0.4679	0.3324	0.0004	
nsga150k2xse	I0	563196	80	1282	0.0148	0.4563	0.3328	0.0003	
nsga150k2xse	I0	562643	80	1282	0.0140	0.4637	0.3328	0.0003	
nsga150k2xse	I0	561518	80	1282	0.0234	0.4780	0.3315	0.0003	
nsga150k2xse	I0	563671	80	1282	0.0172	0.5130	0.3335	0.0003	
nsga150k2xse	I0	563212	80	1282	0.0140	0.4724	0.3307	0.0003	
nsga150k2xse	I0	565012	80	1282	0.0133	0.5682	0.3318	0.0003	
nsga150k2xse	I0	563091	80	1282	0.0140	0.5140	0.3324	0.0003	
nsga150k2xse	I0	563940	80	1282	0.0218	0.4537	0.3327	0.0003	
nsga150k2xse	I0	560666	80	1282	0.0164	0.4338	0.3318	0.0003	
nsga150k2xse	I0	560040	80	1282	0.0195	0.3982	0.3339	0.0003	
nsga150k2xse	I0	564389	80	1282	0.0125	0.4431	0.3321	0.0004	
nsga150k2xse	I0	565469	80	1282	0.0273	0.5202	0.3343	0.0002	
nsga150k2xse	I0	560662	80	1282	0.0164	0.4799	0.3323	0.0003	
nsga150k2xse	I0	562850	80	1282	0.0234	0.4469	0.3340	0.0003	
nsga150k2xse	I0	564106	80	1282	0.0187	0.4914	0.3303	0.0003	
nsga150k2xse	I0	562379	80	1282	0.0211	0.4590	0.3328	0.0002	
nsga150k2xse	I0	562850	80	1282	0.0179	0.4587	0.3321	0.0003	
nsga150k2xse	I0	564418	80	1282	0.0172	0.4153	0.3344	0.0004	
nsga150k2xse	I0	563631	80	1282	0.0125	0.4829	0.3327	0.0003	
nsga150k2xse	I0	563920	80	1282	0.0125	0.3784	0.3336	0.0004	
nsga150k2xse	I0	563064	80	1282	0.0125	0.4640	0.3316	0.0003	
nsga150k2xse	I0	563815	80	1282	0.0211	0.4737	0.3313	0.0004	
nsga150k2xse	I0	562167	80	1282	0.0156	0.4378	0.3329	0.0004	
nsga150k2xse	I0	562729	80	1282	0.0187	0.4626	0.3331	0.0003	
nsga150k2xse	I0	563153	80	1282	0.0164	0.5224	0.3318	0.0003	
nsga150k2xse	I0	565562	80	1282	0.0203	0.4220	0.3329	0.0002	
nsga150k2xse	I0	561428	80	1282	0.0203	0.4418	0.3324	0.0003	
nsga150k2xse	I0	563191	80	1282	0.0156	0.4974	0.3324	0.0004	
nsga150k2xse	I0	562563	80	1282	0.0117	0.4407	0.3293	0.0003	
nsga150k2xse	I0	565359	80	1282	0.0179	0.4143	0.3342	0.0003	
nsga150k2xse	I0	565255	80	1282	0.0273	0.4588	0.3344	0.0003	
nsga150k2xse	I0	563258	80	1282	0.0117	0.4839	0.3318	0.0003	
nsga150k2xse	I0	562780	80	1282	0.0211	0.4673	0.3321	0.0002	
nsga150k2xse	I0	562378	80	1282	0.0211	0.4600	0.3334	0.0002	
nsga150k2xse	I0	562447	80	1282	0.0203	0.4354	0.3331	0.0003	
nsga150k2x	I1	3502684	168	3014	0.0000	0.7071	0.2730	0.0193	
nsga150k2x	I1	3494039	168	3014	0.0000	0.8188	0.2670	0.0223	
nsga150k2x	I1	3488137	163	3014	0.0000	0.7479	0.2707	0.0240	
nsga150k2x	I1	3500689	148	3014	0.0000	0.7696	0.2739	0.0169	
nsga150k2x	I1	3503619	146	3014	0.0000	0.8176	0.2672	0.0161	
nsga150k2x	I1	3493227	160	3014	0.0000	0.7345	0.2710	0.0158	
nsga150k2x	I1	3499735	138	3014	0.0000	0.8393	0.2801	0.0193	
nsga150k2x	I1	3494030	167	3014	0.0000	0.7102	0.2697	0.0208	
nsga150k2x	I1	3483744	161	3014	0.0000	0.7553	0.2709	0.0213	
nsga150k2x	I1	3495313	155	3014	0.0000	0.7598	0.2804	0.0246	
nsga150k2x	I1	3490112	167	3014	0.0000	0.6910	0.2682	0.0216	
nsga150k2x	I1	3487779	165	3014	0.0000	0.7622	0.2725	0.0234	
nsga150k2x	I1	3607917	163	3014	0.0000	0.7355	0.2738	0.0191	
nsga150k2x	I1	3642741	148	3014	0.0003	0.7154	0.2735	0.0192	
nsga150k2x	I1	3630220	138	3014	0.0000	0.7532	0.2803	0.0244	
nsga150k2x	I1	3650715	163	3014	0.0000	0.8299	0.2729	0.0217	
nsga150k2x	I1	3645041	168	3014	0.0000	0.7324	0.2743	0.0192	
nsga150k2x	I1	3635288	168	3014	0.0000	0.7671	0.2702	0.0174	
nsga150k2x	I1	3629860	146	3014	0.0000	0.7233	0.2712	0.0229	
nsga150k2x	I1	3636461	163	3014	0.0000	0.7886	0.2690	0.0212	
nsga150k2x	I1	3631097	156	3014	0.0000	0.8423	0.2701	0.0241	
nsga150k2x	I1	2418287	155	3014	0.0000	0.7924	0.2735	0.0164	
nsga150k2x	I1	2337163	144	3014	0.0000	0.7120	0.2778	0.0201	
nsga150k2x	I1	2323514	163	3014	0.0000	0.7640	0.2757	0.0218	
nsga150k2x	I1	2326231	138	3014	0.0000	0.7645	0.2774	0.0217	
nsga150k2x	I1	2327111	161	3014	0.0000	0.8035	0.2658	0.0188	
nsga150k2x	I1	2330065	164	3014	0.0000	0.8326	0.2714	0.0187	
nsga150k2x	I1	2327272	162	3014	0.0000	0.7590	0.2788	0.0215	
nsga150k2x	I1	2327125	149	3014	0.0000	0.7203	0.2735	0.0159	
nsga150k2x	I1	2331447	168	3014	0.0000	0.8076	0.2750	0.0198	
nsga150k2x	I1	2338247	167	3014	0.0000	0.7933	0.2754	0.0142	
nsga150k2x	I1	2337911	160	3014	0.0000	0.7993	0.2746	0.0174	
nsga150k2x	I1	2326365	166	3014	0.0000	0.7624	0.2684	0.0229	
nsga150k2x	I1	2331943	162	3014	0.0000	0.7234	0.2752	0.0230	
nsga150k2x	I1	2338457	159	3014	0.0000	0.7935	0.2731	0.0199	
nsga150k2x	I1	2324590	156	3014	0.0000	0.7781	0.2714	0.0216	
nsga150k2x	I1	2326938	164	3014	0.0000	0.7813	0.2717	0.0225	
nsga150k2x	I1	2330610	153	3014	0.0000	0.7795	0.2738	0.0183	
nsga150k2x	I1	2331092	168	3014	0.0000	0.7568	0.2732	0.0220	
nsga150k2x	I1	2329479	162	3014	0.0000	0.7694	0.2730	0.0189	
nsga150k2x	I1	2334181	168	3014	0.0000	0.7179	0.2732	0.0175	
nsga150k2x	I1	2335409	156	3014	0.0000	0.7719	0.2739	0.0229	
nsga150k2x	I1	2329881	159	3014	0.0000	0.7940	0.2727	0.0181	
nsga150k2x	I1	2336441	165	3014	0.0000	0.7436	0.2734	0.0197	
nsga150k2x	I1	2319312	164	3014	0.0000	0.7643	0.2671	0.0271	
nsga150k2x	I1	2328629	165	3014	0.0000	0.7156	0.2762	0.0198	
nsga150k2x	I1	2334593	168	3014	0.0000	0.8073	0.2715	0.0196	
nsga150k2x	I1	2323551	155	3014	0.0000	0.7949	0.2704	0.0223	
nsga150k2x	I1	2331567	167	3014	0.0000	0.7168	0.2740	0.0177	
nsga150k2x	I1	2326047	164	3014	0.0000	0.7886	0.2733	0.0233	
nsga150k2xse	I1	3297228	168	3014	0.0209	0.4738	0.3510	0.0001	
nsga150k2xse	I1	3333272	168	3014	0.0212	0.4618	0.3558	0.0001	
nsga150k2xse	I1	3294484	168	3014	0.0236	0.4795	0.3537	0.0001	
nsga150k2xse	I1	3294748	168	3014	0.0212	0.4544	0.3530	0.0001	
nsga150k2xse	I1	3298853	168	3014	0.0246	0.4542	0.3531	0.0001	
nsga150k2xse	I1	3293668	168	3014	0.0222	0.4664	0.3503	0.0001	
nsga150k2xse	I1	3297486	168	3014	0.0226	0.5076	0.3544	0.0001	
nsga150k2xse	I1	3292117	168	3014	0.0163	0.4735	0.3517	0.0001	
nsga150k2xse	I1	3301212	168	3014	0.0226	0.4790	0.3526	0.0001	
nsga150k2xse	I1	3298292	168	3014	0.0173	0.4380	0.3517	0.0001	
nsga150k2xse	I1	3298161	168	3014	0.0202	0.4331	0.3513	0.0001	
