inst	noh	mks	cst
ACAD	0.0	171.5	82325.7938
ACAD	2.8129	168.6	82595.9979
OMET	0.0	479.3	230084.6783
OMET	20.7589	458.5	232077.5668
OMET	39.7032	448.7	238252.5797
OMET	57.719	447.4	248013.9026
OMET	89.3058	435.0	260689.154
PARM	0.0	425.1	204094.4371
PARM	5.356	419.8	204610.295
PSOA	0.0	646.5	310366.3487
PSOA	12.0973	634.5	311529.1714
WAMS	0.0	287.6	138050.8273
WAMS	9.8061	277.7	138992.2149
WAMS	18.5425	273.6	142049.6804
WAMS	39.9053	270.4	152979.0533
WMET	0.0	169.8	81525.6719
WMET	6.5596	163.2	82155.8013
WMET	12.482	160.3	84149.4685
WMET	17.9794	160.2	87296.4992
WMET	27.5344	156.9	91338.3577
