inst	noh	mks	cst
ACAD	0.0	171.5	82325.7938
ACAD	10.0889	161.4	83294.3325
ACAD	19.6862	157.4	86934.047
ACAD	47.6514	152.4	100868.419
OMET	0.0	479.3	230084.6783
OMET	28.1964	451.1	232789.3083
OMET	54.5244	436.1	240779.6173
OMET	80.8216	431.0	253456.5042
OMET	107.2741	429.0	267756.1802
OMET	127.7076	408.6	270331.4286
OMET	201.7296	403.4	312277.4058
PARM	0.0	425.1	204094.4371
PARM	25.0118	400.1	206497.6341
PARM	48.7695	390.1	215365.9587
PARM	117.7461	376.7	249244.9664
PSOA	0.0	646.5	310366.3487
PSOA	38.0353	608.5	314019.216
PSOA	75.9297	607.4	335305.5066
WAMS	0.0	287.6	138050.8273
WAMS	16.918	270.6	139674.9547
WAMS	32.715	261.7	144469.631
WAMS	48.493	258.6	152074.0852
WAMS	64.3646	257.4	160654.1062
WAMS	76.6245	245.1	162198.6748
WAMS	121.0378	242.0	187366.4435
WMET	0.0	169.8	81525.6719
WMET	9.9909	159.8	82485.2095
WMET	19.3199	154.5	85316.7112
WMET	28.6376	152.7	89807.5306
WMET	38.0106	152.0	94874.4721
WMET	45.2506	144.8	95786.5443
WMET	71.479	142.9	110649.4745
