inst	noh	mks	cst
ACAD	0.0	171.5	82325.7938
ACAD	8.9726	162.5	83187.3292
ACAD	17.1174	155.9	84700.0992
ACAD	24.7575	151.0	86749.1072
ACAD	31.9681	146.8	88901.7248
ACAD	38.0578	140.7	89670.3478
ACAD	44.5902	137.8	92225.5734
ACAD	51.0576	135.6	95061.3145
ACAD	55.9202	130.8	95674.0055
OMET	0.0	479.3	230084.6783
OMET	24.3648	454.9	232423.5343
OMET	46.4524	436.7	236401.5551
OMET	67.1111	423.0	241728.1325
OMET	86.5552	411.3	247309.5953
OMET	103.0419	394.8	249386.9181
OMET	120.5624	386.6	255996.0982
OMET	137.8385	380.2	263309.1098
OMET	150.966	367.0	264963.1722
PARM	0.0	425.1	204094.4371
PARM	22.1937	403.0	206226.1091
PARM	42.3378	386.6	209958.7156
PARM	61.2291	374.4	215009.5657
PARM	79.0561	364.1	220319.0082
PARM	94.1144	349.0	222216.3537
PARM	110.2566	341.9	228513.3673
PARM	126.2334	336.4	235500.0575
PARM	138.2555	324.4	237014.6641
PSOA	0.0	646.5	310366.3487
PSOA	36.2971	610.2	313850.2009
PSOA	69.3481	584.3	320422.1325
PSOA	100.5594	565.8	329535.22
PSOA	130.2071	550.3	339177.8454
PSOA	155.0084	525.5	342302.8157
PSOA	182.1891	515.3	353781.3639
PSOA	209.3419	508.0	366592.835
PSOA	229.2831	488.1	369111.1339
WAMS	0.0	287.6	138050.8273
WAMS	14.6189	272.9	139454.2409
WAMS	27.8714	262.0	141840.933
WAMS	40.2666	253.8	145036.8795
WAMS	51.9331	246.8	148385.7572
WAMS	61.8252	236.9	149632.1523
WAMS	72.3376	231.9	153597.9625
WAMS	82.7027	228.1	157984.6801
WAMS	90.5796	220.2	158977.9033
WMET	0.0	169.8	81525.6719
WMET	8.6332	161.2	82354.8667
WMET	16.4595	154.7	83764.3305
WMET	23.7795	149.9	85651.7005
WMET	30.6691	145.7	87629.2674
WMET	36.5108	139.9	88365.275
WMET	42.719	136.9	90707.2649
WMET	48.8404	134.7	93298.5035
WMET	53.4919	130.0	93884.5886
