inst	noh	mks	cst
ACAD	17.853	153.6	84082.8159
ACAD	16.6094	154.8	83925.0426
ACAD	18.8948	152.6	84215.96
ACAD	30.9023	140.9	85651.1589
ACAD	12.2644	159.2	83503.1883
ACAD	16.3206	155.1	83920.9197
ACAD	10.8462	160.6	83366.7175
ACAD	10.2507	161.2	83351.0997
ACAD	14.0563	157.4	83706.4679
ACAD	19.7356	151.8	84311.9906
ACAD	18.4141	153.0	84175.1777
ACAD	15.3325	156.1	83821.036
ACAD	17.0139	154.4	83999.0532
ACAD	6.1124	165.3	82918.8148
ACAD	16.2423	155.2	83936.4103
ACAD	26.6632	144.9	85039.7327
ACAD	19.2197	152.2	84238.7955
ACAD	23.2751	148.2	84637.3555
ACAD	12.3106	159.1	83527.3429
ACAD	7.4104	164.1	83043.4169
ACAD	36.0832	136.8	86716.4758
ACAD	12.8175	158.6	83597.5081
ACAD	27.3895	144.2	85168.4879
ACAD	20.986	150.5	84434.9284
ACAD	14.1003	157.4	83696.1977
ACAD	24.6357	146.9	84869.354
ACAD	24.177	147.3	84728.9857
ACAD	21.727	149.7	84489.5174
ACAD	20.1238	151.3	84352.0643
ACAD	31.6037	140.4	85781.0712
ACAD	23.3939	148.1	84659.6467
ACAD	30.2227	141.3	85447.4355
ACAD	28.5074	143.2	85352.1598
ACAD	11.8795	159.6	83478.2209
ACAD	24.9225	146.6	84868.1501
ACAD	13.4057	158.1	83624.4793
ACAD	21.8956	149.6	84492.9397
ACAD	31.7105	139.9	85637.258
ACAD	22.2529	149.3	84546.3538
ACAD	23.1133	148.3	84687.4281
ACAD	25.9144	145.5	84938.4667
ACAD	13.7513	157.7	83662.6951
ACAD	25.2965	146.2	84891.9867
ACAD	15.9667	155.5	83889.5403
ACAD	16.7411	154.7	83964.7954
ACAD	9.5516	162.0	83299.7291
ACAD	39.1124	134.8	87558.598
ACAD	36.4122	136.3	86704.219
ACAD	35.6805	136.9	86539.4653
ACAD	33.122	138.9	85995.8319
ACAD	21.9258	149.5	84535.4547
ACAD	28.3818	143.3	85311.9282
ACAD	9.0767	162.4	83214.9624
ACAD	23.0797	148.4	84602.6656
ACAD	31.1188	140.7	85678.4778
ACAD	25.9036	145.6	84922.433
ACAD	20.1845	151.3	84308.9544
ACAD	18.0235	153.4	84079.816
ACAD	14.4836	157.0	83734.0218
ACAD	19.5874	151.9	84250.643
ACAD	15.1696	156.3	83788.3091
ACAD	2.2366	169.3	82593.6989
ACAD	37.8726	135.7	87236.7938
ACAD	32.1561	139.8	85873.5099
ACAD	7.2572	164.2	83040.5435
ACAD	31.644	140.2	85762.7436
ACAD	11.2869	160.2	83409.4996
ACAD	5.3587	166.1	82840.3984
ACAD	22.483	149.0	84611.9414
ACAD	3.0738	168.4	82621.0408
ACAD	23.6527	147.9	84743.6263
ACAD	22.5081	148.9	84532.5173
ACAD	24.3092	147.1	84740.184
ACAD	12.7693	158.7	83551.8078
ACAD	23.7745	147.7	84713.2701
ACAD	46.1956	133.3	90986.996
ACAD	2.4591	169.2	82668.0864
ACAD	8.8389	162.6	83199.1631
ACAD	14.5768	156.9	83742.9719
ACAD	18.2149	153.2	84116.1124
ACAD	19.1065	152.4	84202.6815
ACAD	33.1806	138.7	85923.4729
ACAD	34.4178	137.9	86257.2254
ACAD	9.7413	161.7	83273.3809
ACAD	15.724	155.7	83890.3338
ACAD	15.1236	156.3	83839.4863
ACAD	14.1274	157.3	83688.5455
ACAD	22.0338	149.4	84505.9307
ACAD	17.2384	154.2	84049.1231
ACAD	11.6282	159.8	83464.3716
ACAD	10.1395	161.3	83306.3227
ACAD	9.9179	161.5	83285.6076
ACAD	12.5117	158.9	83569.9094
ACAD	21.8895	149.6	84498.3148
ACAD	13.7333	157.7	83695.2028
ACAD	21.4151	150.0	84457.4858
ACAD	3.2432	168.3	82692.3457
ACAD	20.7568	150.7	84385.1837
ACAD	15.4524	156.0	83843.3604
ACAD	6.3125	165.1	82931.9617
ACAD	17.1189	154.3	83983.0314
ACAD	19.375	152.1	84217.835
ACAD	24.2567	147.2	84734.9157
ACAD	20.3419	151.1	84323.5662
ACAD	17.7073	153.8	84059.0644
ACAD	5.6042	165.9	82863.9639
ACAD	18.5807	152.9	84144.3945
ACAD	19.2399	152.2	84233.6211
ACAD	34.8399	137.7	86449.7796
ACAD	18.012	153.4	84092.6142
ACAD	14.7217	156.7	83745.311
ACAD	14.1184	157.3	83697.6896
ACAD	24.9881	146.5	84819.0144
ACAD	8.7265	162.7	83163.7067
ACAD	8.2393	163.2	83133.5454
ACAD	20.0938	151.4	84302.55
ACAD	9.2315	162.2	83225.8338
ACAD	13.5267	157.9	83648.9377
ACAD	19.7582	151.7	84245.5511
ACAD	7.7818	163.7	83071.4873
ACAD	16.518	154.9	83923.2616
ACAD	13.2171	158.2	83638.2284
ACAD	4.618	166.8	82768.5972
ACAD	8.0597	163.4	83111.9483
ACAD	12.155	159.3	83518.4562
ACAD	22.1801	149.3	84588.3167
ACAD	10.7796	160.7	83386.4184
ACAD	6.9483	164.5	82991.8972
ACAD	7.4503	164.0	83047.2481
ACAD	10.3373	161.1	83332.0696
ACAD	15.9514	155.5	83895.6738
ACAD	20.5145	150.9	84356.3325
ACAD	12.6859	158.8	83555.379
ACAD	11.3238	160.1	83419.1052
ACAD	1.8697	170.2	82802.9767
ACAD	34.4043	138.0	86339.9866
ACAD	32.6405	139.3	85918.0332
ACAD	9.5699	161.9	83268.0673
ACAD	6.0384	165.4	82919.2959
ACAD	7.5621	163.9	83051.9111
ACAD	28.5597	143.1	85295.3413
ACAD	12.5139	158.9	83542.6484
ACAD	6.6106	164.9	82960.5787
ACAD	12.0846	159.4	83499.5788
ACAD	22.9695	148.5	84589.2501
ACAD	13.0735	158.4	83614.4444
ACAD	13.0165	158.4	83632.7331
ACAD	2.6312	168.8	82578.5589
ACAD	5.1089	166.4	82823.5682
ACAD	34.9193	137.6	86387.9159
ACAD	33.4353	138.5	85986.0608
ACAD	17.3553	154.1	84033.5119
ACAD	32.7989	139.2	85929.9009
ACAD	11.7481	159.7	83511.3389
ACAD	17.9227	153.5	84080.502
ACAD	16.7742	154.7	83962.4309
ACAD	7.1832	164.3	83015.5439
ACAD	25.5574	146.0	84951.7211
ACAD	12.7135	158.7	83572.6097
ACAD	3.6752	167.8	82694.4662
ACAD	5.9277	165.5	82911.1278
ACAD	20.0192	151.4	84305.5453
ACAD	6.6945	164.8	82968.6316
ACAD	21.1995	150.3	84454.1821
ACAD	7.8434	163.6	83084.9891
ACAD	4.3387	167.1	82751.7942
ACAD	16.0235	155.4	83870.2753
ACAD	35.0601	137.4	86439.3664
ACAD	34.0563	138.3	86259.0961
ACAD	9.3716	162.1	83221.2981
ACAD	14.9156	156.5	83757.8526
ACAD	4.9602	166.5	82800.5994
ACAD	7.4646	164.0	83041.0943
ACAD	13.1994	158.3	83610.1921
ACAD	29.5625	142.1	85442.6839
ACAD	2.7294	168.7	82587.9781
ACAD	25.5657	145.9	84902.0913
ACAD	22.6161	148.8	84610.9547
ACAD	8.6569	162.8	83175.2413
ACAD	14.4323	157.0	83734.489
ACAD	16.9666	154.5	83991.9986
ACAD	19.4482	152.0	84223.9934
ACAD	6.5511	165.0	83028.5777
ACAD	2.5999	168.9	82575.364
ACAD	44.4548	133.4	90039.0011
ACAD	44.2857	133.5	89982.6875
ACAD	41.8251	134.0	88742.5574
ACAD	4.8502	166.6	82803.1518
ACAD	7.0253	164.4	83023.4168
ACAD	12.0256	159.4	83509.0417
ACAD	11.426	160.0	83466.4096
ACAD	16.244	155.2	83907.3526
ACAD	9.8598	161.6	83299.3046
ACAD	5.1631	166.3	82821.6155
ACAD	9.55	162.0	83330.0809
ACAD	31.2642	140.6	85745.9291
ACAD	26.9469	144.6	85138.6621
ACAD	29.9659	141.7	85483.9154
ACAD	8.8685	162.6	83176.2822
ACAD	18.8912	152.7	84213.6649
ACAD	28.0007	143.6	85206.7938
ACAD	24.0375	147.5	84825.6125
ACAD	9.6125	161.8	83254.8265
ACAD	7.2759	164.2	83036.2758
ACAD	11.7995	159.7	83482.4531
ACAD	13.6163	157.8	83656.8322
ACAD	20.5335	150.9	84354.694
ACAD	13.1367	158.3	83610.4829
ACAD	14.5215	156.9	83743.7618
ACAD	2.0827	169.7	82658.7378
ACAD	19.209	152.3	84208.0068
ACAD	28.0143	143.4	85164.4821
ACAD	20.4302	151.0	84347.2832
ACAD	4.2879	167.3	82810.7901
ACAD	8.6381	162.8	83187.4123
ACAD	30.4363	141.1	85457.4041
ACAD	34.6913	137.8	86386.4013
ACAD	8.2381	163.3	83141.9292
ACAD	24.4458	147.0	84711.1486
ACAD	21.7642	149.7	84452.6253
ACAD	28.6387	142.9	85266.5286
ACAD	22.529	148.9	84502.9184
ACAD	21.2476	150.2	84406.6699
ACAD	34.1277	138.1	86217.992
ACAD	29.3603	142.3	85417.7406
ACAD	46.2588	133.2	91015.0726
