inst	noh	mks	cst
ACAD	8.6162	162.8	83167.3672
ACAD	48.374	123.1	87410.9178
ACAD	28.3088	143.1	85180.7659
ACAD	5.1114	166.3	82831.3573
ACAD	38.1292	133.3	86232.8325
ACAD	26.7321	144.7	84955.0268
ACAD	49.7144	121.7	87575.0067
ACAD	4.2286	167.2	82734.6526
ACAD	37.6844	133.8	86138.9137
ACAD	30.4534	141.0	85406.8621
ACAD	25.0164	146.4	84815.4873
ACAD	15.9797	155.5	83894.8887
ACAD	27.1204	144.3	85034.6213
ACAD	20.642	150.8	84368.8546
ACAD	29.3139	142.1	85282.2691
ACAD	10.8118	160.6	83374.1596
ACAD	46.5268	124.9	87215.2942
ACAD	36.6833	134.8	86054.3604
ACAD	17.212	154.2	84008.7292
ACAD	29.9484	141.5	85348.9877
ACAD	46.0015	125.5	87131.1824
ACAD	31.5379	139.9	85529.0129
ACAD	15.3493	156.1	83827.4961
ACAD	6.45	165.0	82951.8526
ACAD	42.4797	129.0	86739.5732
ACAD	47.6409	123.8	87333.9812
ACAD	26.2216	145.2	84912.1994
ACAD	25.532	145.9	84873.7167
ACAD	36.3134	135.1	86106.104
ACAD	13.0538	158.4	83664.0789
ACAD	17.9354	153.5	84083.0725
ACAD	27.9275	143.5	85132.2074
ACAD	15.5329	155.9	83869.9181
ACAD	36.7289	134.7	86114.1315
ACAD	41.6456	129.8	86614.5673
ACAD	46.5822	124.9	87200.2278
ACAD	49.9292	121.5	87605.1193
ACAD	46.0272	125.4	87144.4324
ACAD	40.6323	130.8	86552.5664
ACAD	20.9471	150.5	84428.4623
ACAD	28.8541	142.6	85198.7442
ACAD	38.6897	132.8	86283.8437
ACAD	9.3481	162.1	83252.7539
ACAD	39.2246	132.2	86340.29
ACAD	9.9527	161.5	83306.295
ACAD	19.9788	151.5	84325.3689
ACAD	34.0424	137.4	85726.5449
ACAD	18.9181	152.5	84173.7347
ACAD	25.5203	145.9	84883.1073
ACAD	17.5382	153.9	84105.1077
ACAD	32.9369	138.5	85674.0337
ACAD	30.8148	140.6	85410.1387
ACAD	14.4403	157.0	83738.9687
ACAD	2.7235	168.7	82591.2057
ACAD	15.465	156.0	83833.7785
ACAD	20.0457	151.4	84320.3481
ACAD	44.215	127.2	86952.9156
ACAD	5.2292	166.2	82827.964
ACAD	45.4178	126.0	87069.5478
ACAD	16.8472	154.6	83967.4269
ACAD	7.012	164.4	83014.2526
ACAD	37.8201	133.6	86140.1071
ACAD	9.4324	162.0	83275.2103
ACAD	36.3228	135.1	86031.9447
ACAD	49.9255	121.5	87607.6333
ACAD	27.2354	144.2	85070.608
ACAD	26.6116	144.8	85023.7565
ACAD	18.4596	153.0	84132.5769
ACAD	42.7164	128.7	86769.6004
ACAD	47.9128	123.5	87368.1862
ACAD	20.2315	151.2	84348.2025
ACAD	17.369	154.1	84035.5904
ACAD	42.3546	129.1	86704.0891
ACAD	41.8348	129.6	86649.1783
ACAD	22.6545	148.8	84558.4097
ACAD	45.0136	126.4	87075.6529
ACAD	51.7375	119.7	87823.3263
ACAD	3.0197	168.4	82621.1157
ACAD	45.3183	126.1	87070.7372
ACAD	14.3822	157.1	83731.5458
ACAD	9.4347	162.0	83251.1044
ACAD	42.1254	129.3	86694.6639
ACAD	22.6566	148.8	84556.6818
ACAD	44.4271	127.0	86936.4836
ACAD	8.9861	162.5	83196.6911
ACAD	31.2248	140.2	85444.396
ACAD	27.8395	143.6	85086.9262
ACAD	25.3174	146.1	84860.1861
ACAD	41.3481	130.1	86581.9734
ACAD	10.0169	161.4	83316.6816
ACAD	19.8284	151.6	84275.91
ACAD	32.5656	138.9	85549.9535
ACAD	48.4145	123.0	87417.857
ACAD	50.8116	120.6	87708.2503
ACAD	50.8142	120.6	87707.0062
ACAD	39.9189	131.5	86463.2719
ACAD	36.9194	134.5	86126.743
ACAD	47.2314	124.2	87274.9548
ACAD	36.471	135.0	85984.4247
ACAD	19.0156	152.4	84182.2641
ACAD	43.2889	128.2	86783.6895
ACAD	19.5513	151.9	84244.7488
ACAD	41.4631	130.0	86602.3612
ACAD	28.7288	142.7	85128.9403
ACAD	29.7767	141.7	85238.5872
ACAD	7.8117	163.6	83090.9004
ACAD	31.0494	140.4	85378.611
ACAD	26.9122	144.5	84959.9462
ACAD	18.286	153.2	84097.3763
ACAD	12.1485	159.3	83502.2799
ACAD	8.0432	163.4	83121.6463
ACAD	24.2575	147.2	84720.0866
ACAD	51.9241	119.5	87843.5423
ACAD	21.4407	150.0	84447.3394
ACAD	45.7127	125.7	87103.6606
ACAD	17.8696	153.6	84058.644
ACAD	41.6328	129.8	86701.2569
ACAD	42.0218	129.4	86660.4565
ACAD	51.3702	120.1	87778.7675
ACAD	51.0327	120.4	87735.1034
ACAD	48.7286	122.7	87460.7365
ACAD	50.3463	121.1	87663.8357
ACAD	29.2152	142.2	85278.8837
ACAD	39.8352	131.6	86438.5084
ACAD	28.8576	142.6	85191.8324
ACAD	15.0399	156.4	83809.4947
ACAD	26.315	145.1	84981.6378
ACAD	29.8184	141.6	85299.3561
ACAD	28.0339	143.4	85085.8251
ACAD	35.945	135.5	86019.2013
ACAD	19.1176	152.3	84243.9657
ACAD	27.281	144.2	85041.5575
ACAD	32.2395	139.2	85549.2359
ACAD	33.2751	138.2	85624.8399
ACAD	15.4617	156.0	83858.6544
ACAD	9.8612	161.6	83298.5369
ACAD	19.736	151.7	84276.0278
ACAD	24.5173	146.9	84802.1787
ACAD	6.4357	165.0	82957.7033
ACAD	5.6335	165.8	82874.7521
ACAD	38.7709	132.7	86309.9143
ACAD	16.9241	154.5	83975.1411
ACAD	21.7164	149.7	84493.0627
ACAD	40.5536	130.9	86511.9552
ACAD	35.0256	136.4	85914.4546
ACAD	24.9147	146.5	84807.3559
ACAD	31.2861	140.2	85423.7071
ACAD	27.4425	144.0	85099.6113
ACAD	44.5511	126.9	86961.8039
ACAD	32.4721	139.0	85551.2395
ACAD	46.7187	124.7	87227.3945
ACAD	42.5144	128.9	86748.9259
ACAD	27.211	144.3	84970.8375
ACAD	23.6174	147.8	84628.8495
ACAD	47.1118	124.3	87285.1011
ACAD	23.1418	148.3	84593.0286
ACAD	33.7306	137.7	85776.7876
ACAD	21.4548	150.0	84436.7994
ACAD	35.6597	135.8	85962.1185
ACAD	47.7193	123.7	87334.7967
ACAD	12.5247	158.9	83571.3014
ACAD	21.3589	150.1	84470.1426
ACAD	7.695	163.8	83068.948
ACAD	14.7147	156.7	83809.2958
ACAD	49.6207	121.8	87557.7458
ACAD	32.734	138.7	85623.4151
ACAD	34.2193	137.2	85749.2749
ACAD	8.5236	162.9	83149.2357
ACAD	15.8295	155.6	83898.4479
ACAD	9.0185	162.4	83202.9135
ACAD	14.2785	157.2	83721.4697
ACAD	31.6815	139.8	85542.4286
ACAD	45.8294	125.6	87138.069
ACAD	36.9456	134.5	86068.0438
ACAD	25.2234	146.2	84913.6676
ACAD	40.8341	130.6	86549.4322
ACAD	20.6474	150.8	84354.1344
ACAD	10.4174	161.0	83358.0927
ACAD	44.9499	126.5	87004.774
ACAD	30.6138	140.8	85374.4337
ACAD	43.9263	127.5	86911.3821
ACAD	31.5222	139.9	85533.0872
ACAD	21.1688	150.3	84411.3299
ACAD	27.6974	143.8	85061.7497
ACAD	42.9755	128.5	86773.6506
ACAD	40.2204	131.2	86468.4787
